Infinitive,почерпну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,почерпну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поче́рпнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,почерпну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,почерпну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,почерпну́
2nd Sing,почерпнёшь
3rd Sing,почерпнёт
1st Pl,почерпнём
2nd Pl,почерпнёте
3rd Pl,почерпну́т
Past M,почерпну́л
Past F,почерпну́ла
Past N,почерпну́ло
Past PL,почерпну́ли
Imp S,почерпни́
Imp PL,почерпни́те
