Infinitive,подразделя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подразделя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подразделя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подразделя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подразделя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подразделя́юсь
2nd Sing,подразделя́ешься
3rd Sing,подразделя́ется
1st Pl,подразделя́емся
2nd Pl,подразделя́етесь
3rd Pl,подразделя́ются
Past M,подразделя́лся
Past F,подразделя́лась
Past N,подразделя́лось
Past PL,подразделя́лись
Imp S,подразделя́йся
Imp PL,подразделя́йтесь
