Infinitive,попуга́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,попуга́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попу́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попуга́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,попуга́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попуга́ю
2nd Sing,попуга́ешь
3rd Sing,попуга́ет
1st Pl,попуга́ем
2nd Pl,попуга́ете
3rd Pl,попуга́ют
Past M,попуга́л
Past F,попуга́ла
Past N,попуга́ло
Past PL,попуга́ли
Imp S,попуга́й
Imp PL,попуга́йте
