Infinitive,поду́маться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поду́мавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поду́мавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поду́маюсь
2nd Sing,поду́маешься
3rd Sing,поду́мается
1st Pl,поду́маемся
2nd Pl,поду́маетесь
3rd Pl,поду́маются
Past M,поду́мался
Past F,поду́малась
Past N,поду́малось
Past PL,поду́мались
Imp S,поду́майся
Imp PL,поду́майтесь
