Infinitive,подби́ть
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подобью́
2nd Sing,подобьёшь
3rd Sing,подобьёт
1st Pl,подобьём
2nd Pl,подобьёте
3rd Pl,подобью́т
Past M,подби́л
Past F,подби́ла
Past N,подби́ло
Past PL,подби́ли
Imp S,подбе́й
Imp PL,подбе́йте
