Infinitive,подслу́шать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подслу́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подслу́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подслу́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подслу́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подслу́шаю
2nd Sing,подслу́шаешь
3rd Sing,подслу́шает
1st Pl,подслу́шаем
2nd Pl,подслу́шаете
3rd Pl,подслу́шают
Past M,подслу́шал
Past F,подслу́шала
Past N,подслу́шало
Past PL,подслу́шали
Imp S,подслу́шай
Imp PL,подслу́шайте
