Infinitive,подкрепи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подкрепи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подкрепи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подкреплю́сь
2nd Sing,подкрепи́шься
3rd Sing,подкрепи́тся
1st Pl,подкрепи́мся
2nd Pl,подкрепи́тесь
3rd Pl,подкрепя́тся
Past M,подкрепи́лся
Past F,подкрепи́лась
Past N,подкрепи́лось
Past PL,подкрепи́лись
Imp S,подкрепи́сь
Imp PL,подкрепи́тесь
