Infinitive,подрабо́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подрабо́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подрабо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подрабо́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подрабо́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подрабо́таю
2nd Sing,подрабо́таешь
3rd Sing,подрабо́тает
1st Pl,подрабо́таем
2nd Pl,подрабо́таете
3rd Pl,подрабо́тают
Past M,подрабо́тал
Past F,подрабо́тала
Past N,подрабо́тало
Past PL,подрабо́тали
Imp S,подрабо́тай
Imp PL,подрабо́тайте
