Infinitive,помы́слить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,помы́сливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помы́слив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,помы́сливши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,помы́слю
2nd Sing,помы́слишь
3rd Sing,помы́слит
1st Pl,помы́слим
2nd Pl,помы́слите
3rd Pl,помы́слят
Past M,помы́слил
Past F,помы́слила
Past N,помы́слило
Past PL,помы́слили
Imp S,помы́сли
Imp PL,помы́слите
