Infinitive,пожа́ловаться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пожа́ловавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пожа́ловавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пожа́луюсь
2nd Sing,пожа́луешься
3rd Sing,пожа́луется
1st Pl,пожа́луемся
2nd Pl,пожа́луетесь
3rd Pl,пожа́луются
Past M,пожа́ловался
Past F,пожа́ловалась
Past N,пожа́ловалось
Past PL,пожа́ловались
Imp S,пожа́луйся
Imp PL,пожа́луйтесь
