Infinitive,потолсте́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,потолсте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потолсте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,потолсте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,потолсте́ю
2nd Sing,потолсте́ешь
3rd Sing,потолсте́ет
1st Pl,потолсте́ем
2nd Pl,потолсте́ете
3rd Pl,потолсте́ют
Past M,потолсте́л
Past F,потолсте́ла
Past N,потолсте́ло
Past PL,потолсте́ли
Imp S,потолсте́й
Imp PL,потолсте́йте
