Infinitive,потеша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потеша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,потеша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потеша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,потеша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потеша́юсь
2nd Sing,потеша́ешься
3rd Sing,потеша́ется
1st Pl,потеша́емся
2nd Pl,потеша́етесь
3rd Pl,потеша́ются
Past M,потеша́лся
Past F,потеша́лась
Past N,потеша́лось
Past PL,потеша́лись
Imp S,потеша́йся
Imp PL,потеша́йтесь
