Infinitive,пору́шить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пору́шивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пору́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пору́шив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пору́шивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пору́шу
2nd Sing,пору́шишь
3rd Sing,пору́шит
1st Pl,пору́шим
2nd Pl,пору́шите
3rd Pl,пору́шат
Past M,пору́шил
Past F,пору́шила
Past N,пору́шило
Past PL,пору́шили
Imp S,пору́шь
Imp PL,пору́шьте
