Infinitive,помести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,помести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,помести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,помести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,помещу́
2nd Sing,помести́шь
3rd Sing,помести́т
1st Pl,помести́м
2nd Pl,помести́те
3rd Pl,поместя́т
Past M,помести́л
Past F,помести́ла
Past N,помести́ло
Past PL,помести́ли
Imp S,помести́
Imp PL,помести́те
