Infinitive,подогре́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подогре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подогре́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подогре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подогре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подогре́ю
2nd Sing,подогре́ешь
3rd Sing,подогре́ет
1st Pl,подогре́ем
2nd Pl,подогре́ете
3rd Pl,подогре́ют
Past M,подогре́л
Past F,подогре́ла
Past N,подогре́ло
Past PL,подогре́ли
Imp S,подогре́й
Imp PL,подогре́йте
