Infinitive,подгоре́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подгоре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подгоре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подгоре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подгорю́
2nd Sing,подгори́шь
3rd Sing,подгори́т
1st Pl,подгори́м
2nd Pl,подгори́те
3rd Pl,подгоря́т
Past M,подгоре́л
Past F,подгоре́ла
Past N,подгоре́ло
Past PL,подгоре́ли
Imp S,подгори́
Imp PL,подгори́те
