Infinitive,погрузи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,погрузи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погрузи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,погружу́сь
2nd Sing,погрузи́шься
3rd Sing,погрузи́тся
1st Pl,погрузи́мся
2nd Pl,погрузи́тесь
3rd Pl,погрузя́тся
Past M,погрузи́лся
Past F,погрузи́лась
Past N,погрузи́лось
Past PL,погрузи́лись
Imp S,погрузи́сь
Imp PL,погрузи́тесь
