Infinitive,подтя́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подтя́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подтя́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подтя́гиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подтя́гивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подтя́гивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подтя́гивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подтя́гиваю
2nd Sing,подтя́гиваешь
3rd Sing,подтя́гивает
1st Pl,подтя́гиваем
2nd Pl,подтя́гиваете
3rd Pl,подтя́гивают
Past M,подтя́гивал
Past F,подтя́гивала
Past N,подтя́гивало
Past PL,подтя́гивали
Imp S,подтя́гивай
Imp PL,подтя́гивайте
