Infinitive,поре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поре́жу
2nd Sing,поре́жешь
3rd Sing,поре́жет
1st Pl,поре́жем
2nd Pl,поре́жете
3rd Pl,поре́жут
Past M,поре́зал
Past F,поре́зала
Past N,поре́зало
Past PL,поре́зали
Imp S,поре́жь
Imp PL,поре́жьте
