Infinitive,полени́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,полени́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полени́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поленю́сь
2nd Sing,поле́нишься
3rd Sing,поле́нится
1st Pl,поле́нимся
2nd Pl,поле́нитесь
3rd Pl,поле́нятся
Past M,полени́лся
Past F,полени́лась
Past N,полени́лось
Past PL,полени́лись
Imp S,полени́сь
Imp PL,полени́тесь
