Infinitive,поруби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поруби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пору́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поруби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поруби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,порублю́
2nd Sing,пору́бишь
3rd Sing,пору́бит
1st Pl,пору́бим
2nd Pl,пору́бите
3rd Pl,пору́бят
Past M,поруби́л
Past F,поруби́ла
Past N,поруби́ло
Past PL,поруби́ли
Imp S,поруби́
Imp PL,поруби́те
