Infinitive,пожа́ловать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пожа́ловавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пожа́ловав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пожа́ловавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пожа́лую
2nd Sing,пожа́луешь
3rd Sing,пожа́лует
1st Pl,пожа́луем
2nd Pl,пожа́луете
3rd Pl,пожа́луют
Past M,пожа́ловал
Past F,пожа́ловала
Past N,пожа́ловало
Past PL,пожа́ловали
Imp S,пожа́луй
Imp PL,пожа́луйте
