Infinitive,поле́чь
Zaliznyak Class,8a/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,полёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полёгши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поля́гу
2nd Sing,поля́жешь
3rd Sing,поля́жет
1st Pl,поля́жем
2nd Pl,поля́жете
3rd Pl,поля́гут
Past M,полёг
Past F,полегла́
Past N,полегло́
Past PL,полегли́
Imp S,поля́г
Imp PL,поля́гте
