Infinitive,повздо́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,повздо́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повздо́рив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,повздо́ривши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,повздо́рю
2nd Sing,повздо́ришь
3rd Sing,повздо́рит
1st Pl,повздо́рим
2nd Pl,повздо́рите
3rd Pl,повздо́рят
Past M,повздо́рил
Past F,повздо́рила
Past N,повздо́рило
Past PL,повздо́рили
Imp S,повздо́рь
Imp PL,повздо́рьте
