Infinitive,подтверди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подтверди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подтверди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подтвержу́сь
2nd Sing,подтверди́шься
3rd Sing,подтверди́тся
1st Pl,подтверди́мся
2nd Pl,подтверди́тесь
3rd Pl,подтвердя́тся
Past M,подтверди́лся
Past F,подтверди́лась
Past N,подтверди́лось
Past PL,подтверди́лись
Imp S,подтверди́сь
Imp PL,подтверди́тесь
