Infinitive,подра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подеру́сь
2nd Sing,подерёшься
3rd Sing,подерётся
1st Pl,подерёмся
2nd Pl,подерётесь
3rd Pl,подеру́тся
Past M,подра́лся
Past F,подрала́сь
Past N,подрало́сь
Past PL,подрали́сь
Imp S,подери́сь
Imp PL,подери́тесь
