Infinitive,порва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,порва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́рванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,порва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,порва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,порву́
2nd Sing,порвёшь
3rd Sing,порвёт
1st Pl,порвём
2nd Pl,порвёте
3rd Pl,порву́т
Past M,порва́л
Past F,порвала́
Past N,порва́ло
Past PL,порва́ли
Imp S,порви́
Imp PL,порви́те
