Infinitive,потеря́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потеря́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потеря́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потеря́юсь
2nd Sing,потеря́ешься
3rd Sing,потеря́ется
1st Pl,потеря́емся
2nd Pl,потеря́етесь
3rd Pl,потеря́ются
Past M,потеря́лся
Past F,потеря́лась
Past N,потеря́лось
Past PL,потеря́лись
Imp S,потеря́йся
Imp PL,потеря́йтесь
