Infinitive,полюби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,полюби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полю́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,полюби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,полюби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,полюблю́
2nd Sing,полю́бишь
3rd Sing,полю́бит
1st Pl,полю́бим
2nd Pl,полю́бите
3rd Pl,полю́бят
Past M,полюби́л
Past F,полюби́ла
Past N,полюби́ло
Past PL,полюби́ли
Imp S,полюби́
Imp PL,полюби́те
