Infinitive,подоба́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подоба́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подоба́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подоба́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подоба́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подоба́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подоба́ю
2nd Sing,подоба́ешь
3rd Sing,подоба́ет
1st Pl,подоба́ем
2nd Pl,подоба́ете
3rd Pl,подоба́ют
Past M,подоба́л
Past F,подоба́ла
Past N,подоба́ло
Past PL,подоба́ли
Imp S,подоба́й
Imp PL,подоба́йте
