Infinitive,покры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,покры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покро́ю
2nd Sing,покро́ешь
3rd Sing,покро́ет
1st Pl,покро́ем
2nd Pl,покро́ете
3rd Pl,покро́ют
Past M,покры́л
Past F,покры́ла
Past N,покры́ло
Past PL,покры́ли
Imp S,покро́й
Imp PL,покро́йте
