Infinitive,потопта́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потопта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пото́птанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потопта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потопта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потопчу́
2nd Sing,пото́пчешь
3rd Sing,пото́пчет
1st Pl,пото́пчем
2nd Pl,пото́пчете
3rd Pl,пото́пчут
Past M,потопта́л
Past F,потопта́ла
Past N,потопта́ло
Past PL,потопта́ли
Imp S,потопчи́
Imp PL,потопчи́те
