Infinitive,поскри́пывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поскри́пывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поскри́пывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поскри́пывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поскри́пывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,поскри́пывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,поскри́пываю
2nd Sing,поскри́пываешь
3rd Sing,поскри́пывает
1st Pl,поскри́пываем
2nd Pl,поскри́пываете
3rd Pl,поскри́пывают
Past M,поскри́пывал
Past F,поскри́пывала
Past N,поскри́пывало
Past PL,поскри́пывали
Imp S,поскри́пывай
Imp PL,поскри́пывайте
