Infinitive,подыска́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подыска́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поды́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подыска́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подыска́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подыщу́
2nd Sing,поды́щешь
3rd Sing,поды́щет
1st Pl,поды́щем
2nd Pl,поды́щете
3rd Pl,поды́щут
Past M,подыска́л
Past F,подыска́ла
Past N,подыска́ло
Past PL,подыска́ли
Imp S,подыщи́
Imp PL,подыщи́те
