Infinitive,подписа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подписа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подписа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подписа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подпишу́
2nd Sing,подпи́шешь
3rd Sing,подпи́шет
1st Pl,подпи́шем
2nd Pl,подпи́шете
3rd Pl,подпи́шут
Past M,подписа́л
Past F,подписа́ла
Past N,подписа́ло
Past PL,подписа́ли
Imp S,подпиши́
Imp PL,подпиши́те
