Infinitive,пои́ть
Zaliznyak Class,4c // 4b⑧
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пои́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пои́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,по́енный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,поя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,пои́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,пои́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,пою́
2nd Sing,по́ишь
3rd Sing,по́ит
1st Pl,по́им
2nd Pl,по́ите
3rd Pl,по́ят
Past M,пои́л
Past F,пои́ла
Past N,пои́ло
Past PL,пои́ли
Imp S,пои́
Imp PL,пои́те
