Infinitive,повесели́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повесели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повесели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,повеселю́сь
2nd Sing,повесели́шься
3rd Sing,повесели́тся
1st Pl,повесели́мся
2nd Pl,повесели́тесь
3rd Pl,повеселя́тся
Past M,повесели́лся
Past F,повесели́лась
Past N,повесели́лось
Past PL,повесели́лись
Imp S,повесели́сь
Imp PL,повесели́тесь
