Infinitive,погоре́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погоре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погоре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,погоре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,погорю́
2nd Sing,погори́шь
3rd Sing,погори́т
1st Pl,погори́м
2nd Pl,погори́те
3rd Pl,погоря́т
Past M,погоре́л
Past F,погоре́ла
Past N,погоре́ло
Past PL,погоре́ли
Imp S,погори́
Imp PL,погори́те
