Infinitive,подми́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подми́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подми́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подми́гивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подми́гивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подми́гивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подми́гиваю
2nd Sing,подми́гиваешь
3rd Sing,подми́гивает
1st Pl,подми́гиваем
2nd Pl,подми́гиваете
3rd Pl,подми́гивают
Past M,подми́гивал
Past F,подми́гивала
Past N,подми́гивало
Past PL,подми́гивали
Imp S,подми́гивай
Imp PL,подми́гивайте
