Infinitive,повезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,повёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,повёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,повезу́
2nd Sing,повезёшь
3rd Sing,повезёт
1st Pl,повезём
2nd Pl,повезёте
3rd Pl,повезу́т
Past M,повёз
Past F,повезла́
Past N,повезло́
Past PL,повезли́
Imp S,повези́
Imp PL,повези́те
