Infinitive,похолоде́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,похолоде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похолоде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,похолоде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,похолоде́ю
2nd Sing,похолоде́ешь
3rd Sing,похолоде́ет
1st Pl,похолоде́ем
2nd Pl,похолоде́ете
3rd Pl,похолоде́ют
Past M,похолоде́л
Past F,похолоде́ла
Past N,похолоде́ло
Past PL,похолоде́ли
Imp S,похолоде́й
Imp PL,похолоде́йте
