Infinitive,потруди́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потруди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потруди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потружу́сь
2nd Sing,потру́дишься
3rd Sing,потру́дится
1st Pl,потру́димся
2nd Pl,потру́дитесь
3rd Pl,потру́дятся
Past M,потруди́лся
Past F,потруди́лась
Past N,потруди́лось
Past PL,потруди́лись
Imp S,потруди́сь
Imp PL,потруди́тесь
