Infinitive,покале́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покале́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покале́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покале́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,покале́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покале́чу
2nd Sing,покале́чишь
3rd Sing,покале́чит
1st Pl,покале́чим
2nd Pl,покале́чите
3rd Pl,покале́чат
Past M,покале́чил
Past F,покале́чила
Past N,покале́чило
Past PL,покале́чили
Imp S,покале́чь
Imp PL,покале́чьте
