Infinitive,повести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пове́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пове́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поведу́
2nd Sing,поведёшь
3rd Sing,поведёт
1st Pl,поведём
2nd Pl,поведёте
3rd Pl,поведу́т
Past M,повёл
Past F,повела́
Past N,повело́
Past PL,повели́
Imp S,поведи́
Imp PL,поведи́те
