Infinitive,помо́рщиться
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,помо́рщившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помо́рщившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,помо́рщусь
2nd Sing,помо́рщишься
3rd Sing,помо́рщится
1st Pl,помо́рщимся
2nd Pl,помо́рщитесь
3rd Pl,помо́рщатся
Past M,помо́рщился
Past F,помо́рщилась
Past N,помо́рщилось
Past PL,помо́рщились
Imp S,помо́рщись
Imp PL,помо́рщьтесь
