Infinitive,позабы́ть
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,позабы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позабы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,позабы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,позабы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,позабу́ду
2nd Sing,позабу́дешь
3rd Sing,позабу́дет
1st Pl,позабу́дем
2nd Pl,позабу́дете
3rd Pl,позабу́дут
Past M,позабы́л
Past F,позабы́ла
Past N,позабы́ло
Past PL,позабы́ли
Imp S,позабу́дь
Imp PL,позабу́дьте
