Infinitive,поду́мать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поду́мавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поду́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поду́мав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поду́мавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поду́маю
2nd Sing,поду́маешь
3rd Sing,поду́мает
1st Pl,поду́маем
2nd Pl,поду́маете
3rd Pl,поду́мают
Past M,поду́мал
Past F,поду́мала
Past N,поду́мало
Past PL,поду́мали
Imp S,поду́май
Imp PL,поду́майте
