Infinitive,поле́зть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поле́зший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поле́зши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поле́зу
2nd Sing,поле́зешь
3rd Sing,поле́зет
1st Pl,поле́зем
2nd Pl,поле́зете
3rd Pl,поле́зут
Past M,поле́з
Past F,поле́зла
Past N,поле́зло
Past PL,поле́зли
Imp S,поле́зь
Imp PL,поле́зьте
