Infinitive,позва́нивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,позва́нивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,позва́нивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,позва́нивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,позва́нивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,позва́нивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,позва́ниваю
2nd Sing,позва́ниваешь
3rd Sing,позва́нивает
1st Pl,позва́ниваем
2nd Pl,позва́ниваете
3rd Pl,позва́нивают
Past M,позва́нивал
Past F,позва́нивала
Past N,позва́нивало
Past PL,позва́нивали
Imp S,позва́нивай
Imp PL,позва́нивайте
