Infinitive,постели́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,постели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посте́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,постели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,постели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,постелю́
2nd Sing,посте́лешь
3rd Sing,посте́лет
1st Pl,посте́лем
2nd Pl,посте́лете
3rd Pl,посте́лют
Past M,постели́л
Past F,постели́ла
Past N,постели́ло
Past PL,постели́ли
Imp S,постели́
Imp PL,постели́те
