Infinitive,поиздева́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поиздева́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поиздева́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поиздева́юсь
2nd Sing,поиздева́ешься
3rd Sing,поиздева́ется
1st Pl,поиздева́емся
2nd Pl,поиздева́етесь
3rd Pl,поиздева́ются
Past M,поиздева́лся
Past F,поиздева́лась
Past N,поиздева́лось
Past PL,поиздева́лись
Imp S,поиздева́йся
Imp PL,поиздева́йтесь
