Infinitive,повстреча́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повстреча́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повстреча́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,повстреча́юсь
2nd Sing,повстреча́ешься
3rd Sing,повстреча́ется
1st Pl,повстреча́емся
2nd Pl,повстреча́етесь
3rd Pl,повстреча́ются
Past M,повстреча́лся
Past F,повстреча́лась
Past N,повстреча́лось
Past PL,повстреча́лись
Imp S,повстреча́йся
Imp PL,повстреча́йтесь
