Infinitive,пове́ргнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пове́ргший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,пове́ргнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пове́ргнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пове́рженный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,пове́ргнув
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,пове́ргши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,пове́ргну
2nd Sing,пове́ргнешь
3rd Sing,пове́ргнет
1st Pl,пове́ргнем
2nd Pl,пове́ргнете
3rd Pl,пове́ргнут
Past M,пове́рг
Past F,пове́ргла
Past N,пове́ргло
Past PL,пове́ргли
Imp S,пове́ргни
Imp PL,пове́ргните
