Infinitive,похвали́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,похвали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похва́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,похвали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,похвали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,похвалю́
2nd Sing,похва́лишь
3rd Sing,похва́лит
1st Pl,похва́лим
2nd Pl,похва́лите
3rd Pl,похва́лят
Past M,похвали́л
Past F,похвали́ла
Past N,похвали́ло
Past PL,похвали́ли
Imp S,похвали́
Imp PL,похвали́те
