Infinitive,посрами́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посрами́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посрамлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посрами́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посрами́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посрамлю́
2nd Sing,посрами́шь
3rd Sing,посрами́т
1st Pl,посрами́м
2nd Pl,посрами́те
3rd Pl,посрамя́т
Past M,посрами́л
Past F,посрами́ла
Past N,посрами́ло
Past PL,посрами́ли
Imp S,посрами́
Imp PL,посрами́те
