Infinitive,подли́ть
Zaliznyak Class,11*b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́длитый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подли́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,подли́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подли́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подолью́
2nd Sing,подольёшь
3rd Sing,подольёт
1st Pl,подольём
2nd Pl,подольёте
3rd Pl,подолью́т
Past M,по́длил
Past F,подлила́
Past N,по́длило
Past PL,по́длили
Imp S,подле́й
Imp PL,подле́йте
