Infinitive,повиса́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,повиса́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,повиса́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повиса́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,повиса́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,повиса́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,повиса́ю
2nd Sing,повиса́ешь
3rd Sing,повиса́ет
1st Pl,повиса́ем
2nd Pl,повиса́ете
3rd Pl,повиса́ют
Past M,повиса́л
Past F,повиса́ла
Past N,повиса́ло
Past PL,повиса́ли
Imp S,повиса́й
Imp PL,повиса́йте
