Infinitive,посмотре́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посмотре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посмотре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,посмотре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,посмотрю́
2nd Sing,посмо́тришь
3rd Sing,посмо́трит
1st Pl,посмо́трим
2nd Pl,посмо́трите
3rd Pl,посмо́трят
Past M,посмотре́л
Past F,посмотре́ла
Past N,посмотре́ло
Past PL,посмотре́ли
Imp S,посмотри́
Imp PL,посмотри́те
