Infinitive,подве́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подве́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подве́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подве́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подве́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подве́шу
2nd Sing,подве́сишь
3rd Sing,подве́сит
1st Pl,подве́сим
2nd Pl,подве́сите
3rd Pl,подве́сят
Past M,подве́сил
Past F,подве́сила
Past N,подве́сило
Past PL,подве́сили
Imp S,подве́сь
Imp PL,подве́сьте
