Infinitive,поспо́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поспо́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поспо́рив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поспо́ривши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поспо́рю
2nd Sing,поспо́ришь
3rd Sing,поспо́рит
1st Pl,поспо́рим
2nd Pl,поспо́рите
3rd Pl,поспо́рят
Past M,поспо́рил
Past F,поспо́рила
Past N,поспо́рило
Past PL,поспо́рили
Imp S,поспо́рь
Imp PL,поспо́рьте
