Infinitive,погре́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,погре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погре́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,погре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,погре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,погре́ю
2nd Sing,погре́ешь
3rd Sing,погре́ет
1st Pl,погре́ем
2nd Pl,погре́ете
3rd Pl,погре́ют
Past M,погре́л
Past F,погре́ла
Past N,погре́ло
Past PL,погре́ли
Imp S,погре́й
Imp PL,погре́йте
