Infinitive,погрести́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погрёбший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погрёбши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,погребу́
2nd Sing,погребёшь
3rd Sing,погребёт
1st Pl,погребём
2nd Pl,погребёте
3rd Pl,погребу́т
Past M,погрёб
Past F,погребла́
Past N,погребло́
Past PL,погребли́
Imp S,погреби́
Imp PL,погреби́те
