Infinitive,повора́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повора́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,повора́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повора́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,повора́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,повора́чиваюсь
2nd Sing,повора́чиваешься
3rd Sing,повора́чивается
1st Pl,повора́чиваемся
2nd Pl,повора́чиваетесь
3rd Pl,повора́чиваются
Past M,повора́чивался
Past F,повора́чивалась
Past N,повора́чивалось
Past PL,повора́чивались
Imp S,повора́чивайся
Imp PL,повора́чивайтесь
