Infinitive,полыхну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,полыхну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полыхну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,полыхну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,полыхну́
2nd Sing,полыхнёшь
3rd Sing,полыхнёт
1st Pl,полыхнём
2nd Pl,полыхнёте
3rd Pl,полыхну́т
Past M,полыхну́л
Past F,полыхну́ла
Past N,полыхну́ло
Past PL,полыхну́ли
Imp S,полыхни́
Imp PL,полыхни́те
